1.000000000000000000e+05,5.946730189130162358e+01,2.051963667435331207e+00,5.950269362914321647e+01
3.700700140000000130e+06,8.785085188626702291e+01,4.965983079844737347e+01,1.009151672052979762e+02
7.301400280000000261e+06,1.128089369104298498e+02,6.596075109316254270e+01,1.306777598967608753e+02
1.090000000000000000e+07,1.300360693269423109e+02,7.793189978623003356e+01,1.516006607185217661e+02
1.450000000000000000e+07,1.445037921410606998e+02,8.676857733672950701e+01,1.685530538322782377e+02
1.810000000000000000e+07,1.566272929143131876e+02,9.487246401170483523e+01,1.831198878148364599e+02
2.170000000000000000e+07,1.679390830722021235e+02,9.991237977840931705e+01,1.954124337295789928e+02
2.530000000000000000e+07,1.780510747978347581e+02,1.056248583714632048e+02,2.070236603450335338e+02
2.890000000000000000e+07,1.874610430686542770e+02,1.098137053565558148e+02,2.172572036838463703e+02
3.250000000000000000e+07,1.965515531241143776e+02,1.137533104905573111e+02,2.270954175738970946e+02
3.610000000000000000e+07,2.053490663067856019e+02,1.161937574366212118e+02,2.359432734796840805e+02
3.970000000000000000e+07,2.134878660554863927e+02,1.191680318990513570e+02,2.444955802864718919e+02
4.330000000000000000e+07,2.206299048487584002e+02,1.219557981347023912e+02,2.520927837369496558e+02
4.690000000000000000e+07,2.281808186857331009e+02,1.240698433704817489e+02,2.597302678743224078e+02
5.050000000000000000e+07,2.350285034470217624e+02,1.260233917028610051e+02,2.666838815692456706e+02
5.410000000000000000e+07,2.414916029617676827e+02,1.278419564802491948e+02,2.732430422494632580e+02
5.770000000000000000e+07,2.482311757358614841e+02,1.297832437648721395e+02,2.801114188485367436e+02
6.130000000000000000e+07,2.543899626634871822e+02,1.319540939139167790e+02,2.865765796511871031e+02
6.490000000000000000e+07,2.600042169935116476e+02,1.322819963244464248e+02,2.917202759596767123e+02
6.850000000000000000e+07,2.657597990866304940e+02,1.336792693393671811e+02,2.974868364510828087e+02
7.210000000000000000e+07,2.710963778006078542e+02,1.347592284221623515e+02,3.027429531823101456e+02
7.570000000000000000e+07,2.763840577965991088e+02,1.355739367585971706e+02,3.078448306084380874e+02
7.930000000000000000e+07,2.813549631308424068e+02,1.363078528885372691e+02,3.126346846359833762e+02
8.290000000000000000e+07,2.867979251465127390e+02,1.372828798462526265e+02,3.179616941822164904e+02
